dataset,repeat,approach,penalty,alpha,lambda,C,solver,max_iter,tol,error,max_iter_single,time_sec,iters_single,iters_double,roc_auc,pr_auc,logloss
gaussian,0,adaptive-precision,l2,0.0,0.0001,,lbfgs,3000,0.01,,2000.0,0.029639660962857306,,,1.0,1.0,2.632357019114949e-06
gaussian,0,hybrid(f32→f64),l2,0.0,0.0001,,lbfgs,3000,0.01,,3000.0,0.037421104963868856,14.0,0.0,1.0,1.0,2.632357019114949e-06
gaussian,0,multistage-IR,l2,0.0,0.0001,,lbfgs,3000,0.01,,3000.0,0.03861357597634196,,,1.0,1.0,2.632357019114949e-06
gaussian,0,adaptive-precision,l2,0.0,0.0001,,lbfgs,3000,0.01,,3000.0,0.04933443700429052,,,1.0,1.0,2.632357019114949e-06
gaussian,0,ERROR,l2,0.0,0.0001,,lbfgs,3000,0.0001,Option 'optim iteration limit': value out-of-bounds,,,,,,,
gaussian,0,hybrid(f32→f64),l2,0.0,0.0001,,lbfgs,3000,0.0001,,50.0,0.039218734949827194,17.0,1.0,1.0,1.0,4.00369539750776e-08
gaussian,0,multistage-IR,l2,0.0,0.0001,,lbfgs,3000,0.0001,,50.0,0.13668865407817066,,,1.0,1.0,4.003695381961372e-08
gaussian,0,adaptive-precision,l2,0.0,0.0001,,lbfgs,3000,0.0001,,50.0,0.03816320502664894,,,1.0,1.0,4.014163453178876e-08
gaussian,0,hybrid(f32→f64),l2,0.0,0.0001,,lbfgs,3000,0.0001,,100.0,0.039783842978067696,17.0,1.0,1.0,1.0,4.00369539750776e-08
gaussian,0,multistage-IR,l2,0.0,0.0001,,lbfgs,3000,0.0001,,100.0,0.07054471899755299,,,1.0,1.0,4.003695381961372e-08
gaussian,0,adaptive-precision,l2,0.0,0.0001,,lbfgs,3000,0.0001,,100.0,0.111514957039617,,,1.0,1.0,4.014163453178876e-08
gaussian,0,hybrid(f32→f64),l2,0.0,0.0001,,lbfgs,3000,0.0001,,200.0,0.10521607496775687,17.0,1.0,1.0,1.0,4.00369539750776e-08
gaussian,0,multistage-IR,l2,0.0,0.0001,,lbfgs,3000,0.0001,,200.0,0.1417886499548331,,,1.0,1.0,4.003695381961372e-08
gaussian,0,adaptive-precision,l2,0.0,0.0001,,lbfgs,3000,0.0001,,200.0,0.05375478300265968,,,1.0,1.0,4.014163453178876e-08
gaussian,0,hybrid(f32→f64),l2,0.0,0.0001,,lbfgs,3000,0.0001,,500.0,0.04495469597168267,17.0,1.0,1.0,1.0,4.00369539750776e-08
gaussian,0,multistage-IR,l2,0.0,0.0001,,lbfgs,3000,0.0001,,500.0,0.12197333492804319,,,1.0,1.0,4.003695381961372e-08
gaussian,0,adaptive-precision,l2,0.0,0.0001,,lbfgs,3000,0.0001,,500.0,0.09363096102606505,,,1.0,1.0,4.014163453178876e-08
gaussian,0,hybrid(f32→f64),l2,0.0,0.0001,,lbfgs,3000,0.0001,,800.0,0.07193482702132314,17.0,1.0,1.0,1.0,4.00369539750776e-08
gaussian,0,multistage-IR,l2,0.0,0.0001,,lbfgs,3000,0.0001,,800.0,0.11345379601698369,,,1.0,1.0,4.003695381961372e-08
gaussian,0,adaptive-precision,l2,0.0,0.0001,,lbfgs,3000,0.0001,,800.0,0.07918121793773025,,,1.0,1.0,4.014163453178876e-08
gaussian,0,hybrid(f32→f64),l2,0.0,0.0001,,lbfgs,3000,0.0001,,1000.0,0.08018091099802405,17.0,1.0,1.0,1.0,4.00369539750776e-08
gaussian,0,multistage-IR,l2,0.0,0.0001,,lbfgs,3000,0.0001,,1000.0,0.11695665691513568,,,1.0,1.0,4.003695381961372e-08
gaussian,0,adaptive-precision,l2,0.0,0.0001,,lbfgs,3000,0.0001,,1000.0,0.07438586291391402,,,1.0,1.0,4.014163453178876e-08
gaussian,0,hybrid(f32→f64),l2,0.0,0.0001,,lbfgs,3000,0.0001,,2000.0,0.07772341195959598,17.0,1.0,1.0,1.0,4.00369539750776e-08
gaussian,0,multistage-IR,l2,0.0,0.0001,,lbfgs,3000,0.0001,,2000.0,0.06700600800104439,,,1.0,1.0,4.003695381961372e-08
gaussian,0,adaptive-precision,l2,0.0,0.0001,,lbfgs,3000,0.0001,,2000.0,0.0382832019822672,,,1.0,1.0,4.014163453178876e-08
gaussian,0,hybrid(f32→f64),l2,0.0,0.0001,,lbfgs,3000,0.0001,,3000.0,0.1126155030215159,17.0,1.0,1.0,1.0,4.00369539750776e-08
gaussian,0,multistage-IR,l2,0.0,0.0001,,lbfgs,3000,0.0001,,3000.0,0.0698451210046187,,,1.0,1.0,4.003695381961372e-08
gaussian,0,adaptive-precision,l2,0.0,0.0001,,lbfgs,3000,0.0001,,3000.0,0.04096923698671162,,,1.0,1.0,4.014163453178876e-08
gaussian,0,ERROR,l2,0.0,0.0001,,lbfgs,3000,1e-06,Option 'optim iteration limit': value out-of-bounds,,,,,,,
gaussian,0,hybrid(f32→f64),l2,0.0,0.0001,,lbfgs,3000,1e-06,,50.0,0.06041624001227319,17.0,7.0,1.0,1.0,5.8415311107622094e-08
gaussian,0,multistage-IR,l2,0.0,0.0001,,lbfgs,3000,1e-06,,50.0,0.08746595901902765,,,1.0,1.0,5.8478154921711586e-08
gaussian,0,adaptive-precision,l2,0.0,0.0001,,lbfgs,3000,1e-06,,50.0,0.1460097039816901,,,1.0,1.0,5.837543377839921e-08
gaussian,0,hybrid(f32→f64),l2,0.0,0.0001,,lbfgs,3000,1e-06,,100.0,0.05092627403791994,17.0,7.0,1.0,1.0,5.8415311107622094e-08
gaussian,0,multistage-IR,l2,0.0,0.0001,,lbfgs,3000,1e-06,,100.0,0.1032238369807601,,,1.0,1.0,5.8478154921711586e-08
gaussian,0,adaptive-precision,l2,0.0,0.0001,,lbfgs,3000,1e-06,,100.0,0.14526084600947797,,,1.0,1.0,5.837543377839921e-08
gaussian,0,hybrid(f32→f64),l2,0.0,0.0001,,lbfgs,3000,1e-06,,200.0,0.12599247496109456,17.0,7.0,1.0,1.0,5.8415311107622094e-08
gaussian,0,multistage-IR,l2,0.0,0.0001,,lbfgs,3000,1e-06,,200.0,0.20556912198662758,,,1.0,1.0,5.8478154921711586e-08
gaussian,0,adaptive-precision,l2,0.0,0.0001,,lbfgs,3000,1e-06,,200.0,0.1190190309425816,,,1.0,1.0,5.837543377839921e-08
gaussian,0,hybrid(f32→f64),l2,0.0,0.0001,,lbfgs,3000,1e-06,,500.0,0.046881571994163096,17.0,7.0,1.0,1.0,5.8415311107622094e-08
gaussian,0,multistage-IR,l2,0.0,0.0001,,lbfgs,3000,1e-06,,500.0,0.14344276709016412,,,1.0,1.0,5.8478154921711586e-08
gaussian,0,adaptive-precision,l2,0.0,0.0001,,lbfgs,3000,1e-06,,500.0,0.19296778901480138,,,1.0,1.0,5.837543377839921e-08
gaussian,0,hybrid(f32→f64),l2,0.0,0.0001,,lbfgs,3000,1e-06,,800.0,0.0969112740131095,17.0,7.0,1.0,1.0,5.8415311107622094e-08
gaussian,0,multistage-IR,l2,0.0,0.0001,,lbfgs,3000,1e-06,,800.0,0.1588442709762603,,,1.0,1.0,5.8478154921711586e-08
gaussian,0,adaptive-precision,l2,0.0,0.0001,,lbfgs,3000,1e-06,,800.0,0.1714493470499292,,,1.0,1.0,5.837543377839921e-08
gaussian,0,hybrid(f32→f64),l2,0.0,0.0001,,lbfgs,3000,1e-06,,1000.0,0.08505180396605283,17.0,7.0,1.0,1.0,5.8415311107622094e-08
gaussian,0,multistage-IR,l2,0.0,0.0001,,lbfgs,3000,1e-06,,1000.0,0.08000305702444166,,,1.0,1.0,5.8478154921711586e-08
gaussian,0,adaptive-precision,l2,0.0,0.0001,,lbfgs,3000,1e-06,,1000.0,0.20495749299880117,,,1.0,1.0,5.837543377839921e-08
